
-----------------------------------------------------------------------------
Status                        Initial             Final
-----------------------------------------------------------------------------
Time[s]                       0                   13.0303
Length[m]                     0                   0.43
T[K]                          780.000             780.000
P[atm]                        98.69233            98.69233
V[m3]                         0.03300             0.03300
rho[kg/m3]                    43.18579            43.18579
MW[kg/kmol]                   28.00720            28.00720
Phi[-]                        1.03226             1.03226
H[J/kg]                       5.115785e+05        5.115784e+05
U[J/kg]                       2.800208e+05        2.800208e+05
E[J/kg]                       5.115785e+05        5.115784e+05
Conv.(%) N2                   0.000e+00           0.000e+00
Conv.(%) O2                   0.000e+00           -2.035e-04
Conv.(%) CH4                  0.000e+00           -3.663e-04
Total species (kmol/m2/s)     5.088446e-02        5.088446e-02
Element(kmol/m2/s) C          8.141514e-05        8.141544e-05
Element(kmol/m2/s) H          3.256606e-04        3.256617e-04
Element(kmol/m2/s) O          3.154837e-04        3.154843e-04
Element(kmol/m2/s) N          1.012906e-01        1.012906e-01
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Initial             Final
-----------------------------------------------------------------------------
HE                            0.000000e+00        0.000000e+00
AR                            0.000000e+00        0.000000e+00
N2                            9.955418e-01        9.955418e-01
O2                            3.541725e-03        3.541733e-03
H2                            0.000000e+00        0.000000e+00
H2O                           0.000000e+00        0.000000e+00
H2O2                          0.000000e+00        0.000000e+00
CO                            0.000000e+00        0.000000e+00
CO2                           0.000000e+00        0.000000e+00
CH2O                          0.000000e+00        0.000000e+00
CH4                           9.165073e-04        9.165106e-04
CH3OH                         0.000000e+00        0.000000e+00
CH3OOH                        0.000000e+00        0.000000e+00
C2H2                          0.000000e+00        0.000000e+00
CH2CO                         0.000000e+00        0.000000e+00
C2H2O2                        0.000000e+00        0.000000e+00
C2H4                          0.000000e+00        0.000000e+00
C2H4O                         0.000000e+00        0.000000e+00
CH3CHO                        0.000000e+00        0.000000e+00
C2H4O2                        0.000000e+00        0.000000e+00
C2-OQOOH                      0.000000e+00        0.000000e+00
C2H6                          0.000000e+00        0.000000e+00
C2H5OH                        0.000000e+00        0.000000e+00
C2H5OOH                       0.000000e+00        0.000000e+00
C3H2                          0.000000e+00        0.000000e+00
AC3H4                         0.000000e+00        3.542560e-34
PC3H4                         0.000000e+00        8.130641e-37
C2H3CHO                       0.000000e+00        0.000000e+00
C3H6                          0.000000e+00        1.673546e-30
CH3COCH3                      0.000000e+00        0.000000e+00
C3H6O                         0.000000e+00        0.000000e+00
C2H5CHO                       0.000000e+00        0.000000e+00
C3H8                          0.000000e+00        0.000000e+00
C4H2                          0.000000e+00        0.000000e+00
C4H4                          0.000000e+00        0.000000e+00
C4H6                          0.000000e+00        0.000000e+00
IC4H8                         0.000000e+00        0.000000e+00
NC4H8                         0.000000e+00        0.000000e+00
CYC5H4O                       0.000000e+00        2.344154e-49
CYC5H6                        0.000000e+00        5.680836e-46
C6H6                          0.000000e+00        0.000000e+00
MCPTD                         0.000000e+00        0.000000e+00
C10H8                         0.000000e+00        8.590558e-54
O                             0.000000e+00        0.000000e+00
H                             0.000000e+00        0.000000e+00
OH                            0.000000e+00        0.000000e+00
HO2                           0.000000e+00        0.000000e+00
C                             0.000000e+00        0.000000e+00
CH                            0.000000e+00        5.664501e-37
HCO                           0.000000e+00        0.000000e+00
CH2                           0.000000e+00        0.000000e+00
CH2S                          0.000000e+00        0.000000e+00
CH3                           0.000000e+00        0.000000e+00
CH3O                          0.000000e+00        0.000000e+00
CH2OH                         0.000000e+00        0.000000e+00
CH3OO                         0.000000e+00        0.000000e+00
C2H                           0.000000e+00        0.000000e+00
HCCO                          0.000000e+00        0.000000e+00
