t[s](1)              T[K](2)              P[Pa](3)             V[m3](4)             rho[kg/m3](5)        MW[kg/kmol](6)       Qgas[W/m3](7)        Qsurf[W/m2](8)       total[kg](9)         total[kg/m2/s](10)    total[kg/s](11)      D[kg](12)            D[kg/m2/s](13)       D[kg/s](14)          D[m](15)             D[micron](16)        D[m/s](17)           D[mm/hr](18)         
0.000000000000e+00   2.500000000000e+03   2.026500000000e+04   1.000000000000e-04   3.332985573339e-03   3.418700003624e+00   -3.027440969405e+08  -0.000000000000e+00  0.000000000000e+00   0.000000000000e+00    0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   
1.672956758264e-09   2.500000000000e+03   2.026502328817e+04   1.000000000000e-04   3.332985573339e-03   3.418696074921e+00   -3.027209353390e+08  1.112263120691e-04   5.716779536389e-32   1.366616527427e-19    1.366616527427e-22   5.716779536389e-32   1.366616527427e-19   1.366616527427e-22   1.626395316184e-32   1.626395316184e-26   3.887955981301e-23   1.399664153268e-16   
3.929920237317e-08   2.500000000000e+03   2.026554698953e+04   1.000000000000e-04   3.332985573339e-03   3.418607729130e+00   -3.022585967002e+08  2.455980028698e-03   1.764382874594e-26   1.800683949001e-15    1.800683949001e-18   1.764382874594e-26   1.800683949001e-15   1.800683949001e-18   5.019581435545e-27   5.019581435545e-21   5.122856184924e-19   1.844228226573e-12   
1.712785333776e-07   2.500000000000e+03   2.026738274743e+04   1.000000000000e-04   3.332985573339e-03   3.418298082037e+00   -3.012216245760e+08  9.248388294585e-03   6.429624342717e-24   1.497833533013e-13    1.497833533013e-16   6.429624342717e-24   1.497833533013e-13   1.497833533013e-16   1.829196114571e-24   1.829196114571e-18   4.261261829341e-17   1.534054258563e-10   
3.768677979336e-07   2.500000000000e+03   2.027023814862e+04   1.000000000000e-04   3.332985573340e-03   3.417816557729e+00   -3.003510491854e+08  1.878753243840e-02   1.466373586519e-22   1.531418721763e-12    1.531418721763e-15   1.466373586519e-22   1.531418721763e-12   1.531418721763e-15   4.171759847850e-23   4.171759847850e-17   4.356810019241e-16   1.568451606927e-09   
7.015042452924e-07   2.500000000000e+03   2.027473576604e+04   1.000000000000e-04   3.332985573342e-03   3.417058371214e+00   -2.993655987786e+08  3.689756883467e-02   1.666192881108e-21   9.237020144356e-12    9.237020144356e-15   1.666192881108e-21   9.237020144356e-12   9.237020144356e-15   4.740235792625e-22   4.740235792625e-16   2.627886243060e-15   9.460390475016e-09   
1.241913161741e-06   2.500000000000e+03   2.028219182025e+04   1.000000000000e-04   3.332985573346e-03   3.415802206564e+00   -2.978281856065e+08  8.467868041009e-02   1.520259775401e-20   4.714171036607e-11    4.714171036607e-14   1.520259775401e-20   4.714171036607e-11   4.714171036607e-14   4.325063372408e-21   4.325063372408e-15   1.341158189646e-14   4.828169482727e-08   
2.333191746396e-06   2.500000000000e+03   2.029713040729e+04   1.000000000000e-04   3.332985573358e-03   3.413288193140e+00   -2.947424594389e+08  2.843384268241e-01   1.679788711977e-19   2.697261140496e-10    2.697261140496e-13   1.679788711977e-19   2.697261140496e-10   2.697261140496e-13   4.778915254556e-20   4.778915254556e-14   7.673573657173e-14   2.762486516582e-07   
4.507490416602e-06   2.500000000000e+03   2.032642687498e+04   1.000000000000e-04   3.332985573372e-03   3.408368622791e+00   -2.886319887872e+08  1.130598929996e+00   1.789543333114e-18   1.338160273548e-09    1.338160273548e-12   1.789543333114e-18   1.338160273548e-09   1.338160273548e-12   5.091161687380e-19   5.091161687380e-13   3.806999355757e-13   1.370519768072e-06   
6.897924917526e-06   2.500000000000e+03   2.035792234906e+04   1.000000000000e-04   3.332985573335e-03   3.403095580456e+00   -2.819736422985e+08  2.330425738756e+00   6.812369824398e-18   2.848976309420e-09    2.848976309420e-12   6.812369824398e-18   2.848976309420e-09   2.848976309420e-12   1.938085298549e-18   1.938085298549e-12   8.105195759373e-13   2.917870473374e-06   
