t[s](1)              T[K](2)              P[Pa](3)             V[m3](4)             rho[kg/m3](5)        MW[kg/kmol](6)       Qgas[W/m3](7)        Qsurf[W/m2](8)       bulk[kg](9)          D[kg](10)            DIAMOND(11)          CH(S)_z(12)          C(S,R)_z(13)         CH3(S)_z(14)         CH2(S)_z(15)         CH3_x(16)            C2H6_x(17)           CH4_x(18)            H_x(19)              H2_x(20)             CH3_w(21)            C2H6_w(22)           CH4_w(23)            H_w(24)              H2_w(25)             
0.000000000000e+00   2.500000000000e+03   2.026500000000e+04   1.000000000000e-04   3.332985573339e-03   3.418700003624e+00   -3.027440969405e+08  -0.000000000000e+00  0.000000000000e+00   0.000000000000e+00   5.220000000000e-08   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.000000000000e-01   0.000000000000e+00   9.000000000000e-01   0.000000000000e+00   0.000000000000e+00   4.692719375028e-01   0.000000000000e+00   5.307280624972e-01   
1.672956758264e-09   2.500000000000e+03   2.026502328817e+04   1.000000000000e-04   3.332985573339e-03   3.418696074921e+00   -3.027209353390e+08  1.112263120691e-04   5.716779536389e-32   5.716779536389e-32   5.220000000000e-08   1.000000000000e+00   3.891444733061e-14   9.118046147518e-23   1.131340209460e-36   1.149061301368e-06   1.328378415107e-16   9.999873602066e-02   1.149299369640e-06   8.999989656187e-01   5.053428551454e-06   1.168408578733e-15   4.692665452744e-01   3.388700714662e-07   5.307280624270e-01   
3.929920237317e-08   2.500000000000e+03   2.026554698953e+04   1.000000000000e-04   3.332985573339e-03   3.418607729130e+00   -3.022585967002e+08  2.455980028698e-03   1.764382874594e-26   1.764382874594e-26   5.220000000000e-08   9.999999999794e-01   2.057571275633e-11   2.814123646002e-17   1.901476358842e-28   2.863378624624e-05   1.820281019813e-12   9.996866709951e-02   2.534842575380e-05   8.999773506867e-01   1.259310814638e-04   1.601115237934e-11   4.691375635353e-01   7.474157784490e-06   5.307290312094e-01   
1.712785333776e-07   2.500000000000e+03   2.026738274743e+04   1.000000000000e-04   3.332985573339e-03   3.418298082037e+00   -3.012216245760e+08  9.248388294585e-03   6.429624342717e-24   6.429624342717e-24   5.220000000000e-08   9.999999996534e-01   3.466354109202e-10   1.025500652744e-14   1.139910581803e-24   1.413668098124e-04   1.661722897384e-10   9.984687629579e-02   9.376443104659e-05   8.999179922972e-01   6.217860163442e-04   1.461780260873e-09   4.686084631740e-01   2.764959220841e-05   5.307420997557e-01   
3.768677979336e-07   2.500000000000e+03   2.027023814862e+04   1.000000000000e-04   3.332985573340e-03   3.417816557729e+00   -3.003510491854e+08  1.878753243840e-02   1.466373586519e-22   1.466373586519e-22   5.220000000000e-08   9.999999985153e-01   1.484448989021e-09   2.338810153504e-13   1.108110597053e-22   3.374615730791e-04   1.770521309542e-09   9.963669331175e-02   1.793699086122e-04   8.998464734360e-01   1.484495897841e-03   1.557707206230e-08   4.676878990828e-01   5.290069485450e-05   5.307746887474e-01   
7.015042452924e-07   2.500000000000e+03   2.027473576604e+04   1.000000000000e-04   3.332985573342e-03   3.417058371214e+00   -2.993655987786e+08  3.689756883467e-02   1.666192881108e-21   1.666192881108e-21   5.220000000000e-08   9.999999953975e-01   4.599861766526e-09   2.657514333232e-12   3.975476573465e-21   6.567293278237e-04   1.009907863395e-08   9.929523127344e-02   3.036546813284e-04   8.997443746183e-01   2.889598067306e-03   8.887155443154e-08   4.661885156428e-01   8.957526926682e-05   5.308322221490e-01   
1.241913161741e-06   2.500000000000e+03   2.028219182025e+04   1.000000000000e-04   3.332985573346e-03   3.415802206564e+00   -2.978281856065e+08  8.467868041009e-02   1.520259775401e-20   1.520259775401e-20   5.220000000000e-08   9.999999869951e-01   1.298061054424e-08   2.424756567715e-11   1.072120221875e-19   1.187270927468e-03   4.345897640371e-08   9.872787902638e-02   5.079916292805e-04   8.995768149579e-01   5.225893360418e-03   3.825781815832e-07   4.636952733806e-01   1.499078516802e-04   5.309285428292e-01   
2.333191746396e-06   2.500000000000e+03   2.029713040729e+04   1.000000000000e-04   3.332985573358e-03   3.413288193140e+00   -2.947424594389e+08  2.843384268241e-01   1.679788711977e-19   1.679788711977e-19   5.220000000000e-08   9.999999604731e-01   3.925895630786e-08   2.679199130198e-10   4.066242959057e-18   2.244419884417e-03   1.876777956301e-07   9.759690451422e-02   9.215850070525e-04   8.992369029165e-01   9.886317955806e-03   1.653382572242e-06   4.587210412892e-01   2.721591759867e-04   5.311188281965e-01   
4.507490416602e-06   2.500000000000e+03   2.032642687498e+04   1.000000000000e-04   3.332985573372e-03   3.408368622791e+00   -2.886319887872e+08  1.130598929996e+00   1.789543333114e-18   1.789543333114e-18   5.220000000000e-08   9.999998954812e-01   1.016644986831e-07   2.854253454764e-09   1.666072331172e-16   4.293705676301e-03   7.654663997875e-07   9.540256135774e-02   1.750334902101e-03   8.985526325975e-01   1.894039959308e-02   6.753252588818e-06   4.490544999284e-01   5.176487067442e-04   5.314806985193e-01   
6.897924917526e-06   2.500000000000e+03   2.035792234906e+04   1.000000000000e-04   3.332985573335e-03   3.403095580456e+00   -2.819736422985e+08  2.330425738756e+00   6.812369824398e-18   6.812369824398e-18   5.220000000000e-08   9.999998455155e-01   1.436190440095e-07   1.086546943634e-08   1.592833087272e-15   6.460971967951e-03   1.806436318407e-06   9.307897196915e-02   2.667891644883e-03   8.977903579817e-01   2.854480853843e-02   1.596180237325e-05   4.387963512067e-01   7.902319396316e-04   5.318526465129e-01   
