t[s](1)              t[min](2)            T[K](3)              dummy(4)             dummy(5)             dummy(6)             dummy(7)             dummy(8)             m[kg](9)             mev[kg/s](10)        m_NC7H16[kg](11)     m_NC10H22[kg](12)    m_NC12H26[kg](13)    m_H2O[kg](14)        m_O2[kg](15)         m_CO2[kg](16)        m_CO[kg](17)         m_N2[kg](18)         
1.000000000000e-04   1.666666666667e-06   3.471500083333e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   4.442375620540e-07   8.884751241080e-03   1.484955117106e-07   8.371358671160e-09   1.354176358173e-09   2.860165153140e-07   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   
1.273254547257e+01   2.122090912096e-01   3.482110454560e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.144711925832e-01   9.077123921995e-03   4.003785280465e-02   2.466754127783e-03   4.029474978537e-04   7.156363815291e-02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   
3.650883070059e+01   6.084805116766e-01   3.501924025584e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   3.285537916591e-01   8.636312292301e-03   1.285080621099e-01   1.018991254204e-02   1.707665151392e-03   1.881481518558e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   
5.009527940232e+01   8.349213233720e-01   3.513246066169e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   4.359101271199e-01   6.879456052779e-03   1.836480972538e-01   1.854871165614e-02   3.181784371842e-03   2.305315338382e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   
6.047770711973e+01   1.007961785329e+00   3.521898089266e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   4.958126075619e-01   4.625594398102e-03   2.177138237977e-01   2.817991963749e-02   4.953766529780e-03   2.449650975969e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   
7.066417996453e+01   1.177736332742e+00   3.530386816637e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   5.332963206631e-01   2.895062747431e-03   2.370708682523e-01   3.993105943302e-02   7.223638064450e-03   2.490707549134e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   
7.881801518388e+01   1.313633586398e+00   3.537181679320e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   5.536779764257e-01   2.187774720149e-03   2.443877114446e-01   5.019425605399e-02   9.309151836548e-03   2.497868570905e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   
8.656539097385e+01   1.442756516231e+00   3.543637825812e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   5.692628880576e-01   1.876428125981e-03   2.476098498364e-01   6.025887104041e-02   1.145550598525e-02   2.499386611956e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   
9.380033572319e+01   1.563338928720e+00   3.549666946436e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   5.823179056449e-01   1.750223692599e-03   2.489710909221e-01   6.978920826371e-02   1.358855531844e-02   2.499690511406e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   
1.032507676156e+02   1.720846126927e+00   3.557542306346e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   5.985334925097e-01   1.694451584012e-03   2.496782379451e-01   8.232104066518e-02   1.655825029967e-02   2.499759635997e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   
