t[s](1)              t[min](2)            T[K](3)              MW[kg/kmol](4)       wLI_NC7H16[-](5)     wLI_NC10H22[-](6)    wLI_NC12H26[-](7)    wLI_H2O[-](8)        wLI_O2[-](9)         wLI_CO2[-](10)       wLI_CO[-](11)        wLI_N2[-](12)        xLI_NC7H16[-](13)    xLI_NC10H22[-](14)    xLI_NC12H26[-](15)    xLI_H2O[-](16)       xLI_O2[-](17)        xLI_CO2[-](18)       xLI_CO[-](19)        xLI_N2[-](20)        pv_NC7H16[Pa](21)    pv_NC10H22[Pa](22)    pv_NC12H26[Pa](23)    pv_H2O[Pa](24)       
1.000000000000e-04   1.666666666667e-06   3.471500083333e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00    0.000000000000e+00    0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   4.645031985944e+04   3.022407719512e+03    5.267214341437e+02    3.697870633465e+04   
1.273254547257e+01   2.122090912096e-01   3.482110454560e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00    0.000000000000e+00    0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   4.818205972104e+04   3.177472964183e+03    5.595083733033e+02    3.866072424772e+04   
3.650883070059e+01   6.084805116766e-01   3.501924025584e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00    0.000000000000e+00    0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   5.155407389342e+04   3.485365934781e+03    6.254963528345e+02    4.197451691219e+04   
5.009527940232e+01   8.349213233720e-01   3.513246066169e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00    0.000000000000e+00    0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   5.356398943782e+04   3.672521006470e+03    6.661507147555e+02    4.397315547169e+04   
6.047770711973e+01   1.007961785329e+00   3.521898089266e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00    0.000000000000e+00    0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   5.514168634319e+04   3.821278801012e+03    6.987411395628e+02    4.555386238991e+04   
7.066417996453e+01   1.177736332742e+00   3.530386816637e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00    0.000000000000e+00    0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   5.672541707489e+04   3.972209254618e+03    7.320482412826e+02    4.715086479997e+04   
7.881801518388e+01   1.313633586398e+00   3.537181679320e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00    0.000000000000e+00    0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   5.801907414819e+04   4.096668284578e+03    7.596899922830e+02    4.846283553800e+04   
8.656539097385e+01   1.442756516231e+00   3.543637825812e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00    0.000000000000e+00    0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   5.926991325731e+04   4.217995803622e+03    7.867850448222e+02    4.973765968530e+04   
9.380033572319e+01   1.563338928720e+00   3.549666946436e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00    0.000000000000e+00    0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   6.045731577418e+04   4.334056995486e+03    8.128378232939e+02    5.095345262815e+04   
1.032507676156e+02   1.720846126927e+00   3.557542306346e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00    0.000000000000e+00    0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   6.203675261910e+04   4.489757194751e+03    8.479882872996e+02    5.257900061247e+04   
1.151527421026e+02   1.919212368377e+00   3.567460618419e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00    0.000000000000e+00    0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   6.407240434821e+04   4.692618068539e+03    8.941177644557e+02    5.468787234610e+04   
1.281765004922e+02   2.136275008203e+00   3.578313750410e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00    0.000000000000e+00    0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   6.636035472772e+04   4.923505040148e+03    9.470597200219e+02    5.707623434490e+04   
1.422502876892e+02   2.370838128153e+00   3.590041906408e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00    0.000000000000e+00    0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   6.890517382526e+04   5.183821011818e+03    1.007286264187e+03    5.975468817784e+04   
