t[s](1)              t[min](2)            T[K](3)              rho[kg/m3](4)        MW[kg/kmol](5)       m[kg](6)             mev[kg/s](7)         Q_flux[kW/kg0](8)    m_NC7H16[kg](9)      m_NC10H22[kg](10)    m_NC12H26[kg](11)    m_H2O[kg](12)        dmev_NC7H16[kg/s](13)    dmev_NC10H22[kg/s](14)    dmev_NC12H26[kg/s](15)    dmev_H2O[kg/s](16)    x_NC7H16[-](17)      x_NC10H22[-](18)     x_NC12H26[-](19)     x_H2O[-](20)         
1.000000000000e-04   1.666666666667e-06   3.471500083333e+02   6.327191808273e+02   5.102855603951e+01   9.999991115251e-01   8.884751241080e-03   -3.736770753935e+01  2.499997030092e-01   2.499999832573e-01   2.499999972917e-01   2.499994279669e-01   2.969910234213e-03       1.674271734232e-04        2.708352716346e-05        5.720330306281e-03    1.273103681633e-01   8.965850291137e-02   7.489227699008e-02   7.081388519353e-01   
1.273254547257e+01   2.122090912096e-01   3.482110454560e+02   6.263245858058e+02   5.823723829532e+01   8.855323380901e-01   9.077123921995e-03   -3.314888409525e+01  2.099585211932e-01   2.475321424711e-01   2.495968558702e-01   1.784448185557e-01   3.330852655443e-03       2.244589687087e-04        3.700184225176e-05        5.484810455592e-03    1.377972237603e-01   1.144104741293e-01   9.636488833281e-02   6.514274137776e-01   
3.650883070059e+01   6.084805116766e-01   3.501924025584e+02   6.239997350117e+02   8.621957338294e+01   6.714246130353e-01   8.636312292301e-03   -2.522173613402e+01  1.214928486670e-01   2.398136059085e-01   2.482929859439e-01   6.182517251592e-02   4.079259729143e-03       4.701012186746e-04        8.117382034687e-05        4.005777524136e-03    1.556933070412e-01   2.164314004400e-01   1.871787010869e-01   4.406965914319e-01   
5.009527940232e+01   8.349213233720e-01   3.513246066169e+02   6.325735709112e+02   1.171117942289e+02   5.640521817850e-01   6.879456052779e-03   -2.124359952740e+01  6.634569372851e-02   2.314566875831e-01   2.468192404397e-01   1.943056003376e-02   3.827597127276e-03       7.850236912328e-04        1.412446361644e-04        2.125590598105e-03    1.374689789744e-01   3.377449958160e-01   3.008456446397e-01   2.239403805699e-01   
6.047770711973e+01   1.007961785329e+00   3.521898089266e+02   6.391103957785e+02   1.401438505745e+02   5.041445954629e-01   4.625594398102e-03   -1.902424263773e+01  3.226915241317e-02   2.218250654544e-01   2.450472624090e-01   5.003115186405e-03   2.608040987347e-03       1.060818720090e-03        1.994803390949e-04        7.572543515698e-04    8.951938803636e-02   4.333785245371e-01   3.999006877306e-01   7.720139969596e-02   
7.066417996453e+01   1.177736332742e+00   3.530386816637e+02   6.416054658458e+02   1.514807406300e+02   4.666696648977e-01   2.895062747431e-03   -1.764644545775e+01  1.291599102473e-02   2.100728043954e-01   2.427772269996e-01   9.036424779833e-04   1.261470646222e-03       1.225545248192e-03        2.431372325780e-04        1.649096204393e-04    4.183947240238e-02   4.792427151493e-01   4.626357195247e-01   1.628209292362e-02   
7.881801518388e+01   1.313633586398e+00   3.537181679320e+02   6.419138344254e+02   1.547631102115e+02   4.462937319735e-01   2.187774720149e-03   -1.689973341195e+01  5.603557853944e-03   1.998091002448e-01   2.406916370652e-01   1.894368095553e-04   5.981072342079e-04       1.284439314519e-03        2.673405321011e-04        3.788763932054e-05    1.939193460771e-02   4.869672604890e-01   4.899943002263e-01   3.646504677082e-03   
8.656539097385e+01   1.442756516231e+00   3.543637825812e+02   6.417396846592e+02   1.560633720319e+02   4.307112185210e-01   1.876428125981e-03   -1.633402694273e+01  2.383595052202e-03   1.897443005689e-01   2.385452615149e-01   3.806138498620e-05   2.712432234761e-04       1.310631837320e-03        2.864048324016e-04        8.148232783270e-06    8.619020112117e-03   4.831938305148e-01   5.074216142298e-01   7.655351433160e-04   
9.380033572319e+01   1.563338928720e+00   3.549666946436e+02   6.414452116147e+02   1.567143623761e+02   4.176568558723e-01   1.750223692599e-03   -1.585993099351e+01  1.023007940245e-03   1.802139109588e-01   2.364122107312e-01   7.726242036093e-06   1.227809579569e-04       1.322488080495e-03        3.032029904259e-04        1.751663720881e-06    3.830705859834e-03   4.752425693216e-01   5.207657999228e-01   1.609248958335e-04   
1.032507676156e+02   1.720846126927e+00   3.557542306346e+02   6.409999358026e+02   1.572961063521e+02   4.014418848635e-01   1.694451584012e-03   -1.527116483914e+01  3.165145662455e-04   1.676820097619e-01   2.334425231214e-01   8.374139172300e-07   4.061623098033e-05       1.328210857481e-03        3.254204575823e-04        2.040379683427e-07    1.237655017766e-03   4.617634966903e-01   5.369806344649e-01   1.821382695340e-05   
1.151527421026e+02   1.919212368377e+00   3.567460618419e+02   6.404082040109e+02   1.579200439787e+02   3.813403736173e-01   1.689455606510e-03   -1.454244793639e+01  6.431223068816e-05   1.518817418558e-01   2.293942790110e-01   4.051984365227e-08   8.982691962940e-06       1.325182591748e-03        3.552795895382e-04        1.073326145162e-08    2.657838929327e-04   4.420464182171e-01   5.576868664434e-01   9.314466219361e-07   
1.281765004922e+02   2.136275008203e+00   3.578313750410e+02   6.397472556077e+02   1.586110092825e+02   3.592506114577e-01   1.703513550248e-03   -1.373046923832e+01  9.537715966884e-06   1.347047059516e-01   2.245363665754e-01   1.214777769202e-09   1.466224004373e-06       1.310655272251e-03        3.913917213809e-04        3.326113676008e-10    4.202336388930e-05   4.179808829773e-01   5.819770638875e-01   2.977134056291e-08   
1.422502876892e+02   2.370838128153e+00   3.590041906408e+02   6.390254146904e+02   1.594192791429e+02   3.351761758992e-01   1.716410452135e-03   -1.284373871828e+01  9.718246319037e-07   1.164495951432e-01   2.187256089314e-01   5.733808033920e-17   1.664058946349e-07       1.280980963040e-03        4.352630832007e-04        0.000000000000e+00    4.612816920080e-06   3.892633541644e-01   6.107320330187e-01   1.513828198315e-15   
1.595987506804e+02   2.659979178007e+00   3.604498958900e+02   6.381283245607e+02   1.605239812284e+02   3.053528920225e-01   1.718867200059e-03   -1.173823865469e+01  4.062867150893e-08   9.470307062734e-02   2.106497807665e-01   2.075125317857e-16   7.905050091532e-09       1.221551462151e-03        4.973078328575e-04        0.000000000000e+00    2.131479317084e-07   3.498966493321e-01   6.501031375199e-01   6.055471386781e-15   
1.835602935784e+02   3.059338226307e+00   3.624466911315e+02   6.368817040625e+02   1.622497313589e+02   2.644213175554e-01   1.691201040777e-03   -1.021374932900e+01  0.000000000000e+00   6.687173875194e-02   1.975495788034e-01   9.186661246447e-17   0.000000000000e+00       1.091709749744e-03        5.994912910330e-04        0.000000000000e+00    0.000000000000e+00   2.883818843491e-01   7.116181156509e-01   3.129038928750e-15   
1.930065078517e+02   3.216775130862e+00   3.632338756543e+02   6.363901207066e+02   1.629868620563e+02   2.485428554682e-01   1.669669208992e-03   -9.614845061069e+00  0.000000000000e+00   5.687070005591e-02   1.916721554123e-01   1.789997157074e-16   0.000000000000e+00       1.024216435966e-03        6.454527730263e-04        0.000000000000e+00    0.000000000000e+00   2.621064615010e-01   7.378935384990e-01   6.515824804806e-15   
2.194559078170e+02   3.657598463617e+00   3.654379923181e+02   6.350252522065e+02   1.651502423040e+02   2.054759986141e-01   1.580614611886e-03   -7.981733155375e+00  0.000000000000e+00   3.274885027985e-02   1.727271483342e-01   1.817491143271e-16   0.000000000000e+00       7.895212563977e-04        7.910933554885e-04        0.000000000000e+00    0.000000000000e+00   1.849916011583e-01   8.150083988416e-01   8.108792013449e-15   
2.607791207880e+02   4.346318679800e+00   3.688815933990e+02   6.329848215276e+02   1.682637796872e+02   1.436894069900e-01   1.415310206304e-03   -5.625299655553e+00  0.000000000000e+00   8.992370864514e-03   1.346970361255e-01   1.818025637827e-16   0.000000000000e+00       3.617039156486e-04        1.053606290656e-03        0.000000000000e+00    0.000000000000e+00   7.400787523139e-02   9.259921247686e-01   1.181766388197e-14   
3.019677514345e+02   5.032795857242e+00   3.723139792862e+02   6.311223628577e+02   1.699862288792e+02   8.682594321864e-02   1.380772541293e-03   -3.426863710346e+00  0.000000000000e+00   9.164764784316e-04   8.590946674021e-02   1.818025579377e-16   0.000000000000e+00       7.027357944367e-05        1.310498961849e-03        0.000000000000e+00    0.000000000000e+00   1.261024111848e-02   9.873897588815e-01   1.975740767771e-14   
3.329514235617e+02   5.549190392695e+00   3.748959519635e+02   6.297985974959e+02   1.703180588444e+02   4.260307035027e-02   1.489829859119e-03   -1.690928602721e+00  0.000000000000e+00   2.783167235355e-05   4.257523867791e-02   1.818025578879e-16   0.000000000000e+00       4.795729769710e-06        1.485034129349e-03        0.000000000000e+00    0.000000000000e+00   7.819823318183e-04   9.992180176681e-01   4.034461088902e-14   
3.482075325721e+02   5.803458876201e+00   3.761672943810e+02   6.291525233657e+02   1.703390092522e+02   1.927417498146e-02   1.570198989132e-03   -7.669413858887e-01  0.000000000000e+00   5.666159740550e-07   1.927360836549e-02   1.818025578878e-16   0.000000000000e+00       2.255714749348e-07        1.569973417658e-03        0.000000000000e+00    0.000000000000e+00   3.519370356691e-05   9.999648062963e-01   8.918751248876e-14   
