t[s](1)              t[min](2)            
1.000000000000e-04   3.471500083333e+02   
1.273254547257e+01   3.482110454560e+02   
3.650883070059e+01   3.501924025584e+02   
5.009527940232e+01   3.513246066169e+02   
6.047770711973e+01   3.521898089266e+02   
7.066417996453e+01   3.530386816637e+02   
7.881801518388e+01   3.537181679320e+02   
8.656539097385e+01   3.543637825812e+02   
9.380033572319e+01   3.549666946436e+02   
1.032507676156e+02   3.557542306346e+02   
1.151527421026e+02   3.567460618419e+02   
1.281765004922e+02   3.578313750410e+02   
1.422502876892e+02   3.590041906408e+02   
1.595987506804e+02   3.604498958900e+02   
1.835602935784e+02   3.624466911315e+02   
1.930065078517e+02   3.632338756543e+02   
2.194559078170e+02   3.654379923181e+02   
2.607791207880e+02   3.688815933990e+02   
3.019677514345e+02   3.723139792862e+02   
3.329514235617e+02   3.748959519635e+02   
3.482075325721e+02   3.761672943810e+02   
3.590056840503e+02   3.770671403375e+02   
