t[s](1)              t[min](2)            T[K](3)              dummy(4)             dummy(5)             dummy(6)             dummy(7)             dummy(8)             m[kg](9)             mev[kg/s](10)        m_NC7H16[kg](11)     m_NC10H22[kg](12)    m_NC12H26[kg](13)    m_H2O[kg](14)        
1.000000000000e-04   1.666666666667e-06   3.471500083333e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   9.999995557626e-01   0.000000000000e+00   2.499998515047e-01   2.499999916287e-01   2.499999986458e-01   2.499997139834e-01   
1.273254547257e+01   2.122090912096e-01   3.482110454560e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.000003530673e+00   0.000000000000e+00   2.499963739978e-01   2.499988965989e-01   2.499998033680e-01   2.500084567086e-01   
3.650883070059e+01   6.084805116766e-01   3.501924025584e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   9.999784046944e-01   0.000000000000e+00   2.500009107769e-01   2.500035184506e-01   2.500006510952e-01   2.499733243717e-01   
5.009527940232e+01   8.349213233720e-01   3.513246066169e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   9.999623089049e-01   0.000000000000e+00   2.499937909823e-01   2.500053992392e-01   2.500010248115e-01   2.499620938720e-01   
6.047770711973e+01   1.007961785329e+00   3.521898089266e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   9.999572030248e-01   0.000000000000e+00   2.499829762109e-01   2.500049850919e-01   2.500010289388e-01   2.499682127833e-01   
7.066417996453e+01   1.177736332742e+00   3.530386816637e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   9.999659855609e-01   0.000000000000e+00   2.499868592770e-01   2.500038638284e-01   2.500008650641e-01   2.499743973913e-01   
7.881801518388e+01   1.313633586398e+00   3.537181679320e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   9.999717083992e-01   0.000000000000e+00   2.499912692985e-01   2.500033562988e-01   2.500007889018e-01   2.499762939001e-01   
8.656539097385e+01   1.442756516231e+00   3.543637825812e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   9.999741065786e-01   0.000000000000e+00   2.499934448886e-01   2.500031716093e-01   2.500007675002e-01   2.499767225805e-01   
9.380033572319e+01   1.563338928720e+00   3.549666946436e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   9.999747615172e-01   0.000000000000e+00   2.499940988624e-01   2.500031192225e-01   2.500007660497e-01   2.499767773826e-01   
1.032507676156e+02   1.720846126927e+00   3.557542306346e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   9.999753773731e-01   0.000000000000e+00   2.499947525114e-01   2.500030504271e-01   2.500007734211e-01   2.499768010136e-01   
1.151527421026e+02   1.919212368377e+00   3.567460618419e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   9.999757333528e-01   0.000000000000e+00   2.499951787072e-01   2.500029482596e-01   2.500008003541e-01   2.499768060319e-01   
1.281765004922e+02   2.136275008203e+00   3.578313750410e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   9.999757872246e-01   0.000000000000e+00   2.499953170990e-01   2.500028201849e-01   2.500008435191e-01   2.499768064215e-01   
1.422502876892e+02   2.370838128153e+00   3.590041906408e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   9.999756954522e-01   0.000000000000e+00   2.499953462189e-01   2.500026339741e-01   2.500009087414e-01   2.499768065179e-01   
1.595987506804e+02   2.659979178007e+00   3.604498958900e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   9.999754375400e-01   0.000000000000e+00   2.499953521007e-01   2.500022304016e-01   2.500010485199e-01   2.499768065179e-01   
1.835602935784e+02   3.059338226307e+00   3.624466911315e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   9.999746509430e-01   0.000000000000e+00   2.499953524858e-01   2.500010275096e-01   2.500014644298e-01   2.499768065179e-01   
1.930065078517e+02   3.216775130862e+00   3.632338756543e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   9.999745295044e-01   0.000000000000e+00   2.499953529261e-01   2.500008392229e-01   2.500015308376e-01   2.499768065179e-01   
2.194559078170e+02   3.657598463617e+00   3.654379923181e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   9.999736004816e-01   0.000000000000e+00   2.499953529261e-01   2.499990832674e-01   2.500023577702e-01   2.499768065179e-01   
2.607791207880e+02   4.346318679800e+00   3.688815933990e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   9.999722358227e-01   0.000000000000e+00   2.499953529261e-01   2.499960957339e-01   2.500039806448e-01   2.499768065179e-01   
3.019677514345e+02   5.032795857242e+00   3.723139792862e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   9.999817824869e-01   0.000000000000e+00   2.499953529261e-01   2.500068869011e-01   2.500027361418e-01   2.499768065179e-01   
